radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,405,67,5021,21106,0,87.192306518555,22.334518432617,1000,1,1,1459748781,1459748781,0
GSM,405,752,7302,57151,0,86.663589477539,22.370223999023,1000,1,1,1459748770,1459748770,0
GSM,405,852,51,3066,0,77.056045532227,11.272659301758,1000,1,1,1459682666,1459682666,0
GSM,405,852,33,30178,0,77.207107543945,11.480026245117,1000,1,1,1459682666,1459682666,0
GSM,405,852,54,1717,0,76.957855,11.016541,1000,2,1,1459703144,1475086656,0
GSM,405,753,2303,63383,0,85.674133,19.947052,1000,2,1,1459707952,1490913897,0
GSM,405,752,7302,60311,0,86.754913,22.28096,1000,2,1,1459802156,1475005602,0
GSM,405,752,7302,33253,0,86.627883911133,22.408676147461,1000,1,1,1459748770,1459748770,0
GSM,405,55,101,15121,0,74.861526489258,32.73307800293,1000,1,1,1459769237,1459769237,0
GSM,405,9,9061,31352,0,75.137557983398,32.928085327148,1000,1,1,1459769237,1459769237,0
GSM,405,55,107,10481,0,75.040054321289,32.89924621582,1000,1,1,1459769237,1459769237,0
GSM,405,753,1302,23773,0,85.619202,19.971771,1000,2,1,1459707951,1490913891,0
GSM,405,753,2303,47711,0,85.816725,19.82277,3710,3,1,1459707952,1471906105,0
GSM,405,756,3209,37621,0,75.517959594727,22.986831665039,1000,2,1,1459723729,1459723729,0
GSM,405,44,4308,33397,0,77.339401,11.073532,1542,3,1,1459743025,1467430186,0
GSM,405,752,8102,14388,0,86.883316040039,22.305679321289,1000,1,1,1459748775,1459748775,0
GSM,405,752,9302,48877,0,86.607284545898,22.434768676758,1000,1,1,1459748770,1459748770,0
GSM,405,752,8102,20679,0,86.401290893555,22.666854858398,1000,1,1,1459748748,1459748748,0
GSM,405,752,8102,20678,0,86.399917602539,22.665481567383,1000,1,1,1459748748,1459748748,0
GSM,405,752,8102,14217,0,86.752853393555,22.283706665039,1000,1,1,1459748770,1459748770,0
GSM,405,67,5021,21495,0,87.079696655273,22.349624633789,1000,1,1,1459748776,1459748776,0
GSM,405,752,8102,34892,0,86.671829223633,22.356491088867,1000,1,1,1459748770,1459748770,0
GSM,405,9,9061,31351,0,75.137557983398,32.928085327148,1000,1,1,1459769237,1459769237,0
GSM,405,55,101,53132,0,74.861526489258,32.73307800293,1000,1,1,1459769237,1459769237,0
GSM,405,852,54,1716,0,76.958541870117,11.017227172852,1000,1,1,1459682666,1459682666,0
GSM,405,852,51,24567,0,77.068405151367,11.26579284668,1000,1,1,1459682666,1459682666,0
GSM,405,753,1302,45552,0,85.542984,19.989624,1000,2,1,1459707951,1490913886,0
GSM,405,18,18013,55771,0,76.747042,30.685268,1000,106,1,1459746505,1492455896,0
GSM,405,752,8102,57171,0,86.686935424805,22.34001159668,1000,1,1,1459748770,1459748770,0
GSM,405,55,107,17542,0,75.137557983398,32.928085327148,1000,1,1,1459769237,1459769237,0
GSM,405,55,107,10362,0,75.137557983398,32.928085327148,1000,1,1,1459769237,1459769237,0
GSM,405,55,101,14591,0,74.861526489258,32.73307800293,1000,1,1,1459769237,1459769237,0
GSM,405,67,506,6057,0,88.061599731445,24.853134155273,1000,1,1,1459660531,1459660531,0
GSM,405,852,54,2626,0,77.05192565918,11.275405883789,1000,1,1,1459682666,1459682666,0
GSM,405,752,8102,14219,0,86.718521118164,22.287826538086,1000,1,1,1459748770,1459748770,0
GSM,405,44,1075,24059,0,76.950302124023,10.93620300293,1000,1,1,1459761829,1459761829,0
GSM,405,44,1075,14380,0,76.847305297852,10.996627807617,1000,1,1,1459761829,1459761829,0
GSM,405,44,1075,24170,0,76.881637573242,11.000747680664,1000,1,1,1459761829,1459761829,0
GSM,405,799,35,57212,0,73.05290222168,19.148483276367,1000,1,1,1459765943,1459765943,0
GSM,405,44,3200,28535,0,80.232467651367,13.046951293945,1000,1,1,1459771228,1459771228,0
GSM,405,44,3100,18539,0,80.195389,13.04512,1000,3,1,1459813824,1472640300,0
GSM,405,44,3200,36703,0,80.211868,13.05748,1000,6,1,1459813825,1474275691,0
GSM,405,44,3100,16505,0,80.207748,13.054504,1000,2,1,1459814332,1472851155,0
GSM,405,852,33,30177,0,77.208480834961,11.480026245117,1000,1,1,1459682666,1459682666,0
GSM,405,753,2301,24053,0,85.769577026367,19.899673461914,1000,1,1,1459684101,1459684101,0
GSM,405,753,2501,16543,0,85.821762,20.125237,1078,4,1,1459707953,1484988982,0
GSM,405,753,1302,50792,0,85.672073364258,19.947738647461,1000,1,1,1459684096,1459684096,0
GSM,405,753,2303,11741,0,85.695419311523,19.934005737305,1000,1,1,1459684096,1459684096,0
GSM,405,19,19071,45781,0,75.824661,26.922684,1000,3,1,1459707950,1482202895,0
GSM,405,753,2303,19351,0,85.66658,19.949799,1000,2,1,1459707952,1490913897,0
GSM,405,753,2303,32052,0,85.72151184082,19.921646118164,1000,1,1,1459684101,1459684101,0
GSM,405,753,2303,11742,0,85.707092,19.923019,1000,2,1,1459707952,1460267487,0
GSM,405,67,2103,56292,0,88.529891967773,22.96760559082,1000,1,1,1459688650,1459688650,0
GSM,405,18,18031,42072,0,75.263900756836,30.281753540039,1000,1,1,1459692270,1459692270,0
GSM,405,22,22101,21313,0,77.752304077148,29.555282592773,1000,1,1,1459721902,1459721902,0
GSM,405,5,5041,30551,0,77.040513,28.596489,1000,29,1,1459802141,1492262608,0
GSM,405,752,8102,14387,0,86.891555786133,22.305679321289,1000,1,1,1459748775,1459748775,0
GSM,405,752,8102,57173,0,86.692428588867,22.326278686523,1000,1,1,1459748770,1459748770,0
GSM,405,819,14030,11173,0,78.493423,17.437363,1000,3,1,1459807886,1489562247,0
GSM,405,44,1075,34068,0,76.865158081055,11.00212097168,1000,1,1,1459761829,1459761829,0
GSM,405,55,107,23801,0,75.137557983398,32.928085327148,1000,1,1,1459769237,1459769237,0
GSM,405,9,9061,31013,0,75.137557983398,32.928085327148,1000,1,1,1459769237,1459769237,0
GSM,405,55,107,50033,0,75.040054321289,32.89924621582,1000,1,1,1459769237,1459769237,0
GSM,405,66,7100,15742,0,78.622097,28.138046,1000,11,1,1459813069,1470011576,0
GSM,405,819,14035,3961,0,78.539302,17.434514,1000,67,1,1459814332,1474090726,0
GSM,405,39,26004,32042,0,72.856521606445,19.228134155273,1000,7,1,1459814880,1468321146,0
GSM,405,45,1043,11812,0,80.320358,26.446838,1000,2,1,1459699532,1486125658,0
GSM,405,852,51,60116,0,77.058792114258,11.271286010742,1000,1,1,1459682666,1459682666,0
GSM,405,67,5035,35072,0,88.256607,24.099884,1000,2,1,1459703143,1461398175,0
GSM,405,753,1301,18011,0,85.610275268555,20.163345336914,1000,1,1,1459684074,1459684074,0
GSM,405,753,2301,45574,0,85.816268920898,19.883193969727,1000,2,1,1459707951,1484988982,0
GSM,405,753,2303,57161,0,85.79704284668,20.124893188477,1000,1,1,1459684106,1459684106,0
GSM,405,22,22101,21381,0,77.739944458008,29.540176391602,1000,1,1,1459721896,1459721896,0
GSM,405,22,22082,53353,0,77.888259887695,29.857406616211,1000,1,1,1459721979,1459721979,0
GSM,405,22,22082,51251,0,77.85530090332,29.768142700195,1000,1,1,1459721968,1459721968,0
GSM,405,803,1102,21761,0,77.653427124023,13.029098510742,1000,1,1,1459727471,1459727471,0
GSM,405,801,13,2911,0,78.393630981445,17.44010925293,1000,1,1,1459739172,1459739172,0
GSM,405,67,5023,29921,0,88.13850402832,24.448013305664,1000,1,1,1459747274,1459747274,0
GSM,405,1,1051,50361,0,78.395782,17.49245,1000,53,1,1459786705,1488944898,0
GSM,405,67,5023,29923,0,88.13850402832,24.448013305664,1000,1,1,1459747274,1459747274,0
GSM,405,67,5023,29193,0,88.13850402832,24.448013305664,1000,1,1,1459747274,1459747274,0
GSM,405,39,6005,49053,0,72.913742,19.085312,1000,3,1,1459802146,1490507084,0
GSM,405,819,14030,10512,0,78.49474,17.439251,1000,8,1,1459807886,1488943791,0
GSM,405,52,243,16511,0,85.416641235352,25.696334838867,1000,1,1,1459753281,1459753281,0
GSM,405,44,1050,24009,0,76.980514526367,11.033706665039,1000,1,1,1459761829,1459761829,0
GSM,405,44,1050,34159,0,76.959915161133,11.019973754883,1000,1,1,1459761829,1459761829,0
GSM,405,799,37,60622,0,73.035049438477,19.121017456055,1000,1,1,1459765932,1459765932,0
GSM,405,9,9021,21391,0,74.95491027832,32.87727355957,1000,1,1,1459769237,1459769237,0
GSM,405,55,107,12822,0,75.137557983398,32.928085327148,1000,1,1,1459769237,1459769237,0
GSM,405,44,2100,39036,0,80.22834777832,13.116989135742,1000,2,1,1459814331,1466075414,0
GSM,405,34,25000,18871,0,77.74791,12.971146,1000,5,1,1459814880,1491732157,0
GSM,405,852,51,24568,0,77.067031860352,11.267166137695,1000,1,1,1459682666,1459682666,0
GSM,405,753,2303,63371,0,85.77507,19.899673,1000,2,1,1459707952,1476420279,0
GSM,405,22,22082,50803,0,77.882766723633,29.829940795898,1000,1,1,1459721979,1459721979,0
GSM,405,22,22082,53821,0,77.907486,29.878006,1000,2,1,1459743024,1461062905,0
GSM,405,22,22082,54142,0,77.899933,29.876633,1000,2,1,1459743024,1461062905,0
GSM,405,819,14030,2013,0,78.489151,17.436295,1000,9,1,1459807885,1472614098,0
GSM,405,44,3100,16530,0,80.202599,13.042831,1000,4,1,1459813824,1473558080,0
GSM,405,31,6601,12651,0,76.385879516602,29.807968139648,1000,2,1,1341403826,1341403826,0
GSM,405,55,205,47962,0,74.508074,34.358491,1949,178,1,1341533822,1442805903,0
